rank,symbol,name,scan_theme,trade_group,parent_group,in_execution_pool,execution_theme,scan_rank_60d_dollar_volume,median_dollar_volume_60d,eligible,scan_score,mom20_pct,mom63_skip5_pct,mom126_skip5_pct,dollar_volume20,dollar_accel20_60_pct,obs
11,STX,Seagate Technology Holdings PLC - Ordinary Shares (Ireland),memory_storage,storage_hdd_ssd,us_semiconductor,True,memory_storage,38.0,1870515419.140625,True,1.2215368794148682,42.49403784363308,132.52695913599973,208.23936620026603,2849252490.927124,19.579072114938167,420
12,INTC,Intel Corporation - Common Stock,semi_foundry_idm,semi_foundry_idm,us_semiconductor,True,us981a_ai_theme,12.0,7252457155.057716,True,1.2176738935647915,12.634504475759712,158.47513609828212,188.7901211962288,14183130573.070908,7.29146918043051,420
13,STM,STMicroelectronics N.V. Common Stock,power_semiconductor,us_unclassified_stock,us_unclassified,False,,230.0,438953602.0374298,True,1.2043178325218125,20.730015433866722,135.68805519136146,203.0458275888935,965943899.887085,44.646984320718474,420
14,WDC,Western Digital Corporation - Common Stock,memory_storage,storage_hdd_ssd,us_semiconductor,True,memory_storage,22.0,2654565205.595398,True,1.13800615740003,62.358032373784496,102.65333979252533,212.3412228253382,3635584797.280884,20.497006522751416,420
15,HUT,Hut 8 Corp. - Common Stock,crypto_infra,us_unclassified_stock,us_unclassified,False,,323.0,304202241.4161682,True,1.1031998153407854,28.94000589260235,139.616801328464,158.98463138225995,481325544.78034973,19.582619121842693,420
16,UMC,United Microelectronics Corporation (NEW) Common Stock,us_unclassified,us_unclassified_stock,us_unclassified,False,,715.0,121665785.21895409,True,1.0632015573727478,37.12984428279289,121.17646482839062,155.62422639214049,360167479.360199,54.58721109905304,420
17,HPE,Hewlett Packard Enterprise Company Common Stock,server_network,ai_server_hardware,us_ai_hardware,True,server_network,250.0,393331667.0117378,True,1.032442530497641,40.26627490402031,117.62912341678016,90.74211046998771,1463371111.7088318,195.72364913912043,420
18,FLEX,Flex Ltd. - Ordinary Shares,electronics_manufacturing,us_unclassified_stock,us_unclassified,False,,337.0,295275706.10141754,True,1.017827712007225,12.23387759671759,140.11059609014617,121.88321969804971,772446023.110199,58.154225163007744,420
19,AMD,"Advanced Micro Devices, Inc. - Common Stock",ai_compute,ai_gpu_accelerator,us_semiconductor,True,ai_compute,8.0,9888385481.311035,True,1.0171617656919443,20.0612206172504,147.0162833205328,120.39979377706884,15926820657.202148,14.466565072373804,420
20,NBIS,Nebius Group N.V. - Class A Ordinary Shares,cloud_ai_infra,us_unclassified_stock,us_unclassified,False,,29.0,2256853697.172928,True,0.9462204604755133,49.457820610357906,105.70159534423338,130.51550363181642,3931336918.9170837,45.358881126206384,416
21,STRL,"Sterling Infrastructure, Inc. - Common Stock",us_unclassified,us_unclassified_stock,us_unclassified,False,,451.0,220606610.46142575,True,0.9442710873229526,14.611702776969748,107.25919953113703,158.7318642398115,536970837.7502441,35.551623279367625,420
22,IRDM,Iridium Communications Inc - Common Stock,space_ev_defense,us_unclassified_stock,us_unclassified,True,space_ev_defense,948.0,74425071.70028687,True,0.9392865293852984,-1.5680192217613187,101.99274137611533,184.26981904629778,128179282.6248169,22.78068402055766,420
